pid;nome;status
1;systemd;sleeping
2;kthreadd;sleeping
3;pool_workqueue_release;sleeping
4;kworker/R-rcu_gp;idle
5;kworker/R-sync_wq;idle
6;kworker/R-kvfree_rcu_reclaim;idle
7;kworker/R-slub_flushwq;idle
8;kworker/R-netns;idle
10;kworker/0:0H-events_highpri;idle
13;kworker/R-mm_percpu_wq;idle
14;rcu_tasks_kthread;idle
15;rcu_tasks_rude_kthread;idle
16;rcu_tasks_trace_kthread;idle
17;ksoftirqd/0;sleeping
18;rcu_preempt;idle
19;rcu_exp_par_gp_kthread_worker/0;sleeping
20;rcu_exp_gp_kthread_worker;sleeping
21;migration/0;sleeping
22;idle_inject/0;sleeping
23;cpuhp/0;sleeping
24;cpuhp/1;sleeping
25;idle_inject/1;sleeping
26;migration/1;sleeping
27;ksoftirqd/1;sleeping
29;kworker/1:0H-events_highpri;idle
30;cpuhp/2;sleeping
31;idle_inject/2;sleeping
32;migration/2;sleeping
33;ksoftirqd/2;sleeping
35;kworker/2:0H-events_highpri;idle
36;cpuhp/3;sleeping
37;idle_inject/3;sleeping
38;migration/3;sleeping
39;ksoftirqd/3;sleeping
41;kworker/3:0H-events_highpri;idle
42;kdevtmpfs;sleeping
43;kworker/R-inet_frag_wq;idle
44;kauditd;sleeping
45;khungtaskd;sleeping
46;oom_reaper;sleeping
49;kworker/R-writeback;idle
50;kcompactd0;sleeping
51;ksmd;sleeping
52;khugepaged;sleeping
53;kworker/R-kintegrityd;idle
54;kworker/R-kblockd;idle
55;kworker/R-blkcg_punt_bio;idle
57;irq/9-acpi;sleeping
59;kworker/R-tpm_dev_wq;idle
60;kworker/R-ata_sff;idle
61;kworker/R-md;idle
62;kworker/R-md_bitmap;idle
63;kworker/R-edac-poller;idle
64;kworker/R-devfreq_wq;idle
65;watchdogd;sleeping
67;kworker/0:1H-i915_cleanup;idle
68;kswapd0;sleeping
69;ecryptfs-kthread;sleeping
70;kworker/R-kthrotld;idle
71;irq/121-pciehp;sleeping
72;kworker/R-acpi_thermal_pm;idle
74;hwrng;sleeping
75;kworker/R-mld;idle
76;kworker/R-ipv6_addrconf;idle
84;kworker/R-kstrp;idle
100;kworker/R-charger_manager;idle
124;kworker/1:1H-i915_cleanup;idle
153;kworker/3:1H-i915_cleanup;idle
155;kworker/2:1H-kblockd;idle
176;kworker/2:2-rtl8723be_pci;idle
194;scsi_eh_0;sleeping
195;kworker/R-scsi_tmf_0;idle
196;scsi_eh_1;sleeping
198;kworker/R-scsi_tmf_1;idle
199;scsi_eh_2;sleeping
200;kworker/R-scsi_tmf_2;idle
242;jbd2/sda2-8;sleeping
243;kworker/R-ext4-rsv-conversion;idle
292;systemd-journald;sleeping
388;systemd-udevd;sleeping
389;psimon;sleeping
435;kworker/R-cryptd;idle
519;kworker/R-cfg80211;idle
555;kworker/R-ttm;idle
