user;timestamp;cpu;ram;disco;swap
Guilherme;2025-08-25 13:02:19;30.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:20;7.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:21;4.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:22;3.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:23;21.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:24;14.9;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:25;26.1;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:26;36.9;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:27;2.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:28;2.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:29;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:30;2.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:31;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:32;2.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:33;2.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:34;3.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:35;9.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:36;7.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:37;8.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:38;4.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:39;6.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:40;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:41;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:42;2.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:43;2.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:44;2.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:45;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:46;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:47;4.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:48;2.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:49;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:50;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:51;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:52;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:53;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:54;2.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:55;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:56;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:57;4.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:58;7.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:02:59;4.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:00;8.1;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:01;2.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:02;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:03;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:04;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:05;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:06;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:07;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:09;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:10;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:11;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:12;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:13;5.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:14;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:15;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:16;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:17;3.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:18;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:19;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:20;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:21;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:22;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:23;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:24;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:25;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:26;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:27;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:28;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:29;7.1;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:30;9.4;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:31;12.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:32;13.7;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:33;7.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:34;3.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:35;4.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:36;4.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:37;6.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:38;8.9;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:39;6.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:40;6.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:41;5.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:42;5.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:43;10.6;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:44;5.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:45;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:03:46;0.5;4.0;144.2;4.3
