timestamp,cpu,ram,disco
2025-08-21 18:09:26.451540,25.7,7.11,285.132476416
2025-08-21 18:09:36.457391,9.3,7.18,285.132734464
2025-08-21 18:09:46.463151,12.8,7.27,285.133279232
2025-08-21 18:09:56.468862,9.4,7.3,285.133340672
2025-08-21 18:10:06.477581,8.2,7.32,285.134802944
2025-08-21 18:10:16.483877,8.3,7.14,285.142556672
2025-08-21 18:10:26.490946,9.5,7.18,285.140529152
2025-08-21 18:10:36.496429,8.0,7.25,285.139152896
2025-08-21 18:10:46.502242,6.7,7.24,285.139222528
2025-08-21 18:10:56.508260,16.0,7.26,285.140000768
